type,name,address,is_active,site_name,building_name,floor_name,level_no,zone_name,zone_type,is_risk_zone,risk_category,capacity,room_code,room_name,room_type,sort_order,class_name,expected_student_count,subject_code,employee_code,email,phone,role
site,Oakwood Preparatory School,88 Oakwood Lane Bengaluru Karnataka,true,,,,,,,,,,,,,,,,,,,
building,North Wing,,true,Oakwood Preparatory School,,,,,,,,,,,,,,,,,,,
building,South Wing,,true,Oakwood Preparatory School,,,,,,,,,,,,,,,,,,,
building,Sports Complex,,true,Oakwood Preparatory School,,,,,,,,,,,,,,,,,,,
floor,Ground Floor,,true,Oakwood Preparatory School,North Wing,,0,,,,,,,,,,,,,,,,
floor,First Floor,,true,Oakwood Preparatory School,North Wing,,1,,,,,,,,,,,,,,,,
floor,Ground Floor,,true,Oakwood Preparatory School,South Wing,,0,,,,,,,,,,,,,,,,
floor,Ground Floor,,true,Oakwood Preparatory School,Sports Complex,,0,,,,,,,,,,,,,,,,
zone,Oakwood Reception,,true,Oakwood Preparatory School,North Wing,Ground Floor,,Reception,false,,25,,,,,,,,,,,,
zone,North Classrooms L0,,true,Oakwood Preparatory School,North Wing,Ground Floor,,Classroom,false,,36,,,,,,,,,,,,
zone,North Classrooms L1,,true,Oakwood Preparatory School,North Wing,First Floor,,Classroom,false,,36,,,,,,,,,,,,
zone,South Art Block,,true,Oakwood Preparatory School,South Wing,Ground Floor,,Activity,false,,30,,,,,,,,,,,,
zone,Indoor Sports Hall,,true,Oakwood Preparatory School,Sports Complex,Ground Floor,,Playground,false,Playground,80,,,,,,,,,,,,
room,,,,,,,,North Classrooms L0,,,,,OW-N-101,Prep Room Red,Classroom,,,,,,,,,
room,,,,,,,,North Classrooms L0,,,,,OW-N-102,Prep Room Blue,Classroom,,,,,,,,,
room,,,,,,,,North Classrooms L1,,,,,OW-N-201,Junior Room A,Classroom,,,,,,,,,
room,,,,,,,,North Classrooms L1,,,,,OW-N-202,Junior Room B,Classroom,,,,,,,,,
room,,,,,,,,South Art Block,,,,,OW-S-101,Art Studio,Activity,,,,,,,,,
room,,,,,,,,Indoor Sports Hall,,,,,OW-SP-01,Badminton Court,Sports,,,,,,,,,
class,Prep,,,,,,,,,,,,,,,1,,,,,,
class,Junior,,,,,,,,,,,,,,,2,,,,,,
section,Red,,,,,,,,,,,,,,,,Prep,22,,,,,
section,Blue,,,,,,,,,,,,,,,,Prep,24,,,,,
section,A,,,,,,,,,,,,,,,,Junior,26,,,,,
section,B,,,,,,,,,,,,,,,,Junior,28,,,,,
subject,Literacy,,,,,,,,,,,,,,,,,,,OW-LIT,,,
subject,Numeracy,,,,,,,,,,,,,,,,,,,OW-NUM,,,
subject,Physical Education,,,,,,,,,,,,,,,,,,,OW-PE,,,
subject,Art and Craft,,,,,,,,,,,,,,,,,,,OW-ART,,,
teacher,Deepa Iyer,,,,,,,,,,,,,,,,,,,OW-T01,deepa.iyer@oakwood.test,+91 9988700001,
teacher,Karan Desai,,,,,,,,,,,,,,,,,,,OW-T02,karan.desai@oakwood.test,+91 9988700002,
teacher,Sneha Rao,,,,,,,,,,,,,,,,,,,OW-T03,sneha.rao@oakwood.test,+91 9988700003,
teacher,Arjun Pillai,,,,,,,,,,,,,,,,,,,OW-T04,arjun.pillai@oakwood.test,+91 9988700004,
staff,Vikram Singh,,,,,,,,,,,,,,,,,,,OW-S01,,+91 9988710001,Security
staff,Lakshmi Reddy,,,,,,,,,,,,,,,,,,,OW-S02,,+91 9988710002,Coordinator
staff,Farhan Ali,,,,,,,,,,,,,,,,,,,OW-S03,,+91 9988710003,Reception
